Career,Skills
AI Engineer,"Python,Machine Learning,Deep Learning,Artificial Intelligence,TensorFlow,PyTorch,Scikit-learn,SQL,Git,Docker"
Data Scientist,"Python,SQL,Machine Learning,Pandas,NumPy,Scikit-learn,Matplotlib,Seaborn,Power BI,Excel"
ML Engineer,"Python,Machine Learning,Scikit-learn,TensorFlow,PyTorch,SQL,Git,Docker"
Software Engineer,"Python,Java,C,C++,SQL,Git,GitHub,Linux"
Full Stack Developer,"HTML,CSS,JavaScript,React,NodeJS,MongoDB,MySQL,Git,GitHub,Bootstrap"
Frontend Developer,"HTML,CSS,JavaScript,React,Bootstrap,Git"
Backend Developer,"Python,SQL,NodeJS,Flask,Django,FastAPI,MongoDB,MySQL,Git"
Web Developer,"HTML,CSS,JavaScript,PHP,Bootstrap,MySQL,Git"
Cloud Engineer,"Python,AWS,Azure,Docker,Kubernetes,Linux,Git"
Data Analyst,"SQL,Excel,Power BI,Python,Pandas,Data Analysis,Data Visualization,Matplotlib"
